Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3522208;Itapecerica da Serra;2021; 171.123 ;De 100 a 200 mil
3522307;Itapetininga;2021; 161.509 ;De 100 a 200 mil
3522406;Itapeva;2021; 92.123 ;De 50 a 100 mil
3522505;Itapevi;2021; 241.150 ;De 200 a 500 mil
3522604;Itapira;2021; 71.609 ;De 50 a 100 mil
3522653;Itapirapuã Paulista;2021; 4.214 ;Até 50 mil
3522703;Itápolis;2021; 41.648 ;Até 50 mil
3522802;Itaporanga;2021; 14.710 ;Até 50 mil
3522901;Itapuí;2021; 13.913 ;Até 50 mil
3523008;Itapura;2021; 4.965 ;Até 50 mil
3523107;Itaquaquecetuba;2021; 374.997 ;De 200 a 500 mil
3523206;Itararé;2021; 49.149 ;Até 50 mil
3523305;Itariri;2021; 17.442 ;Até 50 mil
3523404;Itatiba;2021; 119.084 ;De 100 a 200 mil
3523503;Itatinga;2021; 20.752 ;Até 50 mil
3523602;Itirapina;2021; 17.284 ;Até 50 mil
3523701;Itirapuã;2021; 6.311 ;Até 50 mil
3523800;Itobi;2021; 7.608 ;Até 50 mil
3523909;Itu;2021; 170.938 ;De 100 a 200 mil
3524006;Itupeva;2021; 60.255 ;De 50 a 100 mil
3524105;Ituverava;2021; 40.333 ;Até 50 mil
3524204;Jaborandi;2021; 6.681 ;Até 50 mil
3524303;Jaboticabal;2021; 74.352 ;De 50 a 100 mil
3524402;Jacareí;2021; 229.163 ;De 200 a 500 mil
3524501;Jaci;2021; 7.052 ;Até 50 mil
3524600;Jacupiranga;2021; 17.237 ;Até 50 mil
3524709;Jaguariúna;2021; 55.477 ;De 50 a 100 mil
3524808;Jales;2021; 47.242 ;Até 50 mil
3524907;Jambeiro;2021; 6.272 ;Até 50 mil
3525003;Jandira;2021; 124.940 ;De 100 a 200 mil
3525102;Jardinópolis;2021; 43.258 ;Até 50 mil
3525201;Jarinu;2021; 30.330 ;Até 50 mil
3525300;Jaú;2021; 148.613 ;De 100 a 200 mil
3525409;Jeriquara;2021; 3.141 ;Até 50 mil
3525508;Joanópolis;2021; 12.720 ;Até 50 mil
3525607;João Ramalho;2021; 4.404 ;Até 50 mil
3525706;José Bonifácio;2021; 36.229 ;Até 50 mil
3525805;Júlio Mesquita;2021; 4.658 ;Até 50 mil
3525854;Jumirim;2021; 3.343 ;Até 50 mil
3525904;Jundiaí;2021; 409.439 ;De 200 a 500 mil
3526001;Junqueirópolis;2021; 20.174 ;Até 50 mil
3526100;Juquiá;2021; 18.856 ;Até 50 mil
3526209;Juquitiba;2021; 30.579 ;Até 50 mil
3526308;Lagoinha;2021; 4.821 ;Até 50 mil
3526407;Laranjal Paulista;2021; 28.042 ;Até 50 mil
3526506;Lavínia;2021; 8.476 ;Até 50 mil
3526605;Lavrinhas;2021; 7.218 ;Até 50 mil
3526704;Leme;2021; 101.693 ;De 100 a 200 mil
3526803;Lençóis Paulista;2021; 66.695 ;De 50 a 100 mil
3526902;Limeira;2021; 297.662 ;De 200 a 500 mil
3527009;Lindóia;2021; 7.789 ;Até 50 mil
3527108;Lins;2021; 75.318 ;De 50 a 100 mil
3527207;Lorena;2021; 86.952 ;De 50 a 100 mil
3527256;Lourdes;2021; 2.183 ;Até 50 mil
3527306;Louveira;2021; 48.965 ;Até 50 mil
3527405;Lucélia;2021; 21.092 ;Até 50 mil
3527504;Lucianópolis;2021; 2.264 ;Até 50 mil
3527603;Luís Antônio;2021; 14.358 ;Até 50 mil
3527702;Luiziânia;2021; 5.813 ;Até 50 mil
3527801;Lupércio;2021; 4.428 ;Até 50 mil
3527900;Lutécia;2021; 2.615 ;Até 50 mil
3528007;Macatuba;2021; 16.981 ;Até 50 mil
3528106;Macaubal;2021; 7.738 ;Até 50 mil
3528205;Macedônia;2021; 3.562 ;Até 50 mil
3528304;Magda;2021; 3.076 ;Até 50 mil
3528403;Mairinque;2021; 46.569 ;Até 50 mil
3528502;Mairiporã;2021; 100.034 ;De 100 a 200 mil
3528601;Manduri;2021; 9.562 ;Até 50 mil
3528700;Marabá Paulista;2021; 4.942 ;Até 50 mil
3528809;Maracaí;2021; 13.526 ;Até 50 mil
3528858;Marapoama;2021; 2.925 ;Até 50 mil
3528908;Mariápolis;2021; 3.979 ;Até 50 mil
3529005;Marília;2021; 232.599 ;De 200 a 500 mil
3529104;Marinópolis;2021; 2.096 ;Até 50 mil
3529203;Martinópolis;2021; 25.778 ;Até 50 mil
3529302;Matão;2021; 80.174 ;De 50 a 100 mil
3529401;Mauá;2021; 463.338 ;De 200 a 500 mil
3529500;Mendonça;2021; 5.069 ;Até 50 mil
3529609;Meridiano;2021; 3.725 ;Até 50 mil
3529658;Mesópolis;2021; 1.893 ;Até 50 mil
3529708;Miguelópolis;2021; 21.500 ;Até 50 mil
3529807;Mineiros do Tietê;2021; 12.641 ;Até 50 mil
3529906;Miracatu;2021; 19.961 ;Até 50 mil
3530003;Mira Estrela;2021; 2.949 ;Até 50 mil
3530102;Mirandópolis;2021; 28.715 ;Até 50 mil
3530201;Mirante do Paranapanema;2021; 17.831 ;Até 50 mil
3530300;Mirassol;2021; 58.112 ;De 50 a 100 mil
3530409;Mirassolândia;2021; 4.736 ;Até 50 mil
3530508;Mococa;2021; 66.719 ;De 50 a 100 mil
3530607;Mogi das Cruzes;2021; 436.883 ;De 200 a 500 mil
